input,../bitplanes/kodim19/7.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,195752,2.01,50.23,0.005309,0.003967
8,512,393344,109848,3.58,72.07,0.004891,0.003673
8,1024,393344,108312,3.63,72.46,0.004905,0.003581
8,5120,393344,117640,3.34,70.09,0.005022,0.003675
8,10240,393344,125224,3.14,68.16,0.004776,0.003569
16,32,393344,196168,2.01,50.13,0.005360,0.003725
16,512,393344,82872,4.75,78.93,0.004737,0.003324
16,1024,393344,81384,4.83,79.31,0.004808,0.003404
16,5120,393344,91016,4.32,76.86,0.004791,0.003416
16,10240,393344,104120,3.78,73.53,0.004981,0.003542
32,32,393344,213480,1.84,45.73,0.005686,0.003836
32,512,393344,74000,5.32,81.19,0.004923,0.003384
32,1024,393344,71424,5.51,81.84,0.004895,0.003444
32,5120,393344,83056,4.74,78.88,0.004917,0.003451
32,10240,393344,97904,4.02,75.11,0.005568,0.003957
64,32,393344,237944,1.65,39.51,0.006693,0.004457
64,512,393344,72272,5.44,81.63,0.005054,0.003395
64,1024,393344,68992,5.70,82.46,0.004886,0.003297
64,5120,393344,78504,5.01,80.04,0.004927,0.003386
64,10240,393344,97312,4.04,75.26,0.004924,0.003438
128,32,393344,262072,1.50,33.37,0.005800,0.003357
128,512,393344,73080,5.38,81.42,0.004920,0.002912
128,1024,393344,69032,5.70,82.45,0.004919,0.002902
128,5120,393344,78200,5.03,80.12,0.004807,0.002934
128,10240,393344,97032,4.05,75.33,0.004593,0.002940
256,32,393344,286184,1.37,27.24,0.005480,0.003112
256,512,393344,74296,5.29,81.11,0.004797,0.002718
256,1024,393344,69424,5.67,82.35,0.004707,0.002715
256,5120,393344,78024,5.04,80.16,0.004220,0.002627
256,10240,393344,96712,4.07,75.41,0.004671,0.003000
