input,../bitplanes/kodim19/5.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,339600,1.16,13.66,0.006784,0.005277
8,512,393344,240936,1.63,38.75,0.005958,0.004728
8,1024,393344,238912,1.65,39.26,0.006680,0.005296
8,5120,393344,244848,1.61,37.75,0.006063,0.004742
8,10240,393344,254200,1.55,35.37,0.006003,0.004849
16,32,393344,358424,1.10,8.88,0.007049,0.005367
16,512,393344,233736,1.68,40.58,0.006080,0.004728
16,1024,393344,231176,1.70,41.23,0.006076,0.004693
16,5120,393344,237104,1.66,39.72,0.006122,0.004757
16,10240,393344,251960,1.56,35.94,0.006043,0.004761
32,32,393344,383216,1.03,2.57,0.007655,0.005653
32,512,393344,233840,1.68,40.55,0.006385,0.004887
32,1024,393344,230320,1.71,41.45,0.006216,0.004757
32,5120,393344,236864,1.66,39.78,0.006161,0.004814
32,10240,393344,255864,1.54,34.95,0.006117,0.004831
64,32,393344,407528,0.97,-3.61,0.007953,0.005483
64,512,393344,234896,1.67,40.28,0.006612,0.004810
64,1024,393344,230496,1.71,41.40,0.006460,0.004832
64,5120,393344,236592,1.66,39.85,0.006235,0.004764
64,10240,393344,250232,1.57,36.38,0.006069,0.004735
128,32,393344,432032,0.91,-9.84,0.007846,0.004840
128,512,393344,236344,1.66,39.91,0.008524,0.005232
128,1024,393344,231480,1.70,41.15,0.006377,0.004224
128,5120,393344,236648,1.66,39.84,0.005887,0.004140
128,10240,393344,250432,1.57,36.33,0.005767,0.004157
256,32,393344,456728,0.86,-16.11,0.007932,0.004696
256,512,393344,237816,1.65,39.54,0.007549,0.004235
256,1024,393344,232128,1.69,40.99,0.007186,0.004133
256,5120,393344,236760,1.66,39.81,0.006387,0.004343
256,10240,393344,250656,1.57,36.28,0.005770,0.004067
