input,../bitplanes/kodim19/2.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,500592,0.79,-27.27,0.007460,0.006385
8,512,393344,401504,0.98,-2.07,0.006267,0.005895
8,1024,393344,397992,0.99,-1.18,0.006839,0.006404
8,5120,393344,395232,1.00,-0.48,0.006567,0.006291
8,10240,393344,394472,1.00,-0.29,0.006189,0.005727
16,32,393344,522896,0.75,-32.94,0.008107,0.006528
16,512,393344,402672,0.98,-2.37,0.006861,0.006144
16,1024,393344,398520,0.99,-1.32,0.006736,0.005921
16,5120,393344,394952,1.00,-0.41,0.006494,0.005833
16,10240,393344,394888,1.00,-0.39,0.006673,0.005851
32,32,393344,548880,0.72,-39.54,0.008849,0.006780
32,512,393344,404784,0.97,-2.91,0.007307,0.006223
32,1024,393344,400016,0.98,-1.70,0.007112,0.005975
32,5120,393344,396088,0.99,-0.70,0.006988,0.005917
32,10240,393344,394736,1.00,-0.35,0.007021,0.006067
64,32,393344,572976,0.69,-45.67,0.008951,0.006311
64,512,393344,406344,0.97,-3.30,0.007896,0.006403
64,1024,393344,400712,0.98,-1.87,0.008271,0.007232
64,5120,393344,395880,0.99,-0.64,0.009783,0.008749
64,10240,393344,395440,0.99,-0.53,0.008903,0.007949
128,32,393344,597160,0.66,-51.82,0.008912,0.005730
128,512,393344,407960,0.96,-3.72,0.007148,0.005244
128,1024,393344,401608,0.98,-2.10,0.007067,0.005255
128,5120,393344,396336,0.99,-0.76,0.006598,0.005107
128,10240,393344,395744,0.99,-0.61,0.006774,0.005260
256,32,393344,621768,0.63,-58.07,0.009123,0.005463
256,512,393344,409496,0.96,-4.11,0.007322,0.005057
256,1024,393344,402408,0.98,-2.30,0.007129,0.005075
256,5120,393344,396536,0.99,-0.81,0.006317,0.004884
256,10240,393344,395680,0.99,-0.59,0.006381,0.005003
