input,../bitplanes/kodim19/4.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,407872,0.96,-3.69,0.006934,0.005686
8,512,393344,306424,1.28,22.10,0.006329,0.005203
8,1024,393344,304312,1.29,22.63,0.006429,0.005447
8,5120,393344,303928,1.29,22.73,0.006232,0.005189
8,10240,393344,307880,1.28,21.73,0.006043,0.005094
16,32,393344,429560,0.92,-9.21,0.007676,0.005946
16,512,393344,304136,1.29,22.68,0.006537,0.005274
16,1024,393344,301160,1.31,23.44,0.006409,0.005105
16,5120,393344,302768,1.30,23.03,0.006433,0.005233
16,10240,393344,307944,1.28,21.71,0.006448,0.005242
32,32,393344,455560,0.86,-15.82,0.008217,0.006001
32,512,393344,305496,1.29,22.33,0.006941,0.005455
32,1024,393344,301808,1.30,23.27,0.006801,0.005305
32,5120,393344,302768,1.30,23.03,0.006607,0.005300
32,10240,393344,310112,1.27,21.16,0.006748,0.005374
64,32,393344,480024,0.82,-22.04,0.008550,0.006008
64,512,393344,306824,1.28,22.00,0.006914,0.005252
64,1024,393344,302176,1.30,23.18,0.006825,0.005267
64,5120,393344,302832,1.30,23.01,0.006652,0.005296
64,10240,393344,309688,1.27,21.27,0.007413,0.005894
128,32,393344,504440,0.78,-28.24,0.008517,0.005355
128,512,393344,308440,1.28,21.59,0.007230,0.004732
128,1024,393344,303176,1.30,22.92,0.006750,0.004645
128,5120,393344,302960,1.30,22.98,0.006331,0.004600
128,10240,393344,309576,1.27,21.30,0.006315,0.004614
256,32,393344,529168,0.74,-34.53,0.009684,0.005494
256,512,393344,309936,1.27,21.20,0.009773,0.005270
256,1024,393344,303904,1.29,22.74,0.008309,0.005029
256,5120,393344,303184,1.30,22.92,0.006577,0.004565
256,10240,393344,309776,1.27,21.25,0.005997,0.004396
