input,../bitplanes/kodim19/1.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,503336,0.78,-27.96,0.008134,0.006746
8,512,393344,402160,0.98,-2.24,0.006568,0.005789
8,1024,393344,398296,0.99,-1.26,0.006496,0.005725
8,5120,393344,396768,0.99,-0.87,0.006448,0.005871
8,10240,393344,396304,0.99,-0.75,0.006311,0.005642
16,32,393344,525024,0.75,-33.48,0.008023,0.006286
16,512,393344,403264,0.98,-2.52,0.006803,0.005903
16,1024,393344,399616,0.98,-1.59,0.006904,0.006029
16,5120,393344,397872,0.99,-1.15,0.007095,0.006239
16,10240,393344,398424,0.99,-1.29,0.006928,0.005733
32,32,393344,551416,0.71,-40.19,0.008930,0.006596
32,512,393344,405080,0.97,-2.98,0.007097,0.005891
32,1024,393344,400168,0.98,-1.73,0.007429,0.006110
32,5120,393344,396648,0.99,-0.84,0.007338,0.006098
32,10240,393344,396856,0.99,-0.89,0.007181,0.005916
64,32,393344,575512,0.68,-46.31,0.009151,0.006382
64,512,393344,406384,0.97,-3.32,0.007516,0.006167
64,1024,393344,400912,0.98,-1.92,0.008365,0.006984
64,5120,393344,397280,0.99,-1.00,0.007247,0.006107
64,10240,393344,397360,0.99,-1.02,0.007412,0.006146
128,32,393344,599760,0.66,-52.48,0.009510,0.006056
128,512,393344,408128,0.96,-3.76,0.007395,0.005467
128,1024,393344,401832,0.98,-2.16,0.007225,0.005336
128,5120,393344,397632,0.99,-1.09,0.007037,0.005216
128,10240,393344,397680,0.99,-1.10,0.007136,0.005336
256,32,393344,624400,0.63,-58.74,0.009466,0.005485
256,512,393344,409648,0.96,-4.14,0.007516,0.005042
256,1024,393344,402584,0.98,-2.35,0.007896,0.005261
256,5120,393344,397704,0.99,-1.11,0.006746,0.005120
256,10240,393344,397712,0.99,-1.11,0.006731,0.005126
