input,../bitplanes/kodim19/3.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,466496,0.84,-18.60,0.007363,0.006043
8,512,393344,364264,1.08,7.39,0.006230,0.005525
8,1024,393344,361024,1.09,8.22,0.006317,0.005619
8,5120,393344,361248,1.09,8.16,0.006350,0.005523
8,10240,393344,364008,1.08,7.46,0.006086,0.005471
16,32,393344,490560,0.80,-24.72,0.008086,0.006326
16,512,393344,365672,1.08,7.04,0.006862,0.005707
16,1024,393344,361584,1.09,8.07,0.006768,0.005762
16,5120,393344,359904,1.09,8.50,0.006592,0.005689
16,10240,393344,362280,1.09,7.90,0.006597,0.005702
32,32,393344,515160,0.76,-30.97,0.008631,0.006424
32,512,393344,367416,1.07,6.59,0.007095,0.005830
32,1024,393344,362816,1.08,7.76,0.006971,0.005663
32,5120,393344,361256,1.09,8.16,0.006883,0.005643
32,10240,393344,363208,1.08,7.66,0.006515,0.005628
64,32,393344,539576,0.73,-37.18,0.008930,0.006298
64,512,393344,368904,1.07,6.21,0.007165,0.005840
64,1024,393344,363560,1.08,7.57,0.006992,0.005623
64,5120,393344,361328,1.09,8.14,0.006925,0.005568
64,10240,393344,363736,1.08,7.53,0.006783,0.005625
128,32,393344,564176,0.70,-43.43,0.009022,0.005761
128,512,393344,370560,1.06,5.79,0.007298,0.005113
128,1024,393344,364432,1.08,7.35,0.006957,0.005082
128,5120,393344,361768,1.09,8.03,0.006482,0.005004
128,10240,393344,364216,1.08,7.41,0.006520,0.005113
256,32,393344,588888,0.67,-49.71,0.009489,0.005557
256,512,393344,372072,1.06,5.41,0.008194,0.004922
256,1024,393344,365168,1.08,7.16,0.007308,0.004877
256,5120,393344,361880,1.09,8.00,0.006342,0.004734
256,10240,393344,364080,1.08,7.44,0.006202,0.004842
