input,../bitplanes/kodim19/6.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,282464,1.39,28.19,0.008687,0.006809
8,512,393344,187648,2.10,52.29,0.005464,0.004282
8,1024,393344,184760,2.13,53.03,0.005316,0.004185
8,5120,393344,188992,2.08,51.95,0.005377,0.004163
8,10240,393344,200752,1.96,48.96,0.005383,0.004271
16,32,393344,290120,1.36,26.24,0.006437,0.004697
16,512,393344,168896,2.33,57.06,0.005657,0.004137
16,1024,393344,165232,2.38,57.99,0.005359,0.004030
16,5120,393344,170328,2.31,56.70,0.005584,0.004153
16,10240,393344,182680,2.15,53.56,0.005547,0.004172
32,32,393344,311632,1.26,20.77,0.006865,0.004942
32,512,393344,164360,2.39,58.21,0.005719,0.004195
32,1024,393344,160096,2.46,59.30,0.005764,0.004190
32,5120,393344,166160,2.37,57.76,0.005662,0.004171
32,10240,393344,175008,2.25,55.51,0.005534,0.004183
64,32,393344,335952,1.17,14.59,0.008385,0.005775
64,512,393344,164280,2.39,58.24,0.005849,0.004166
64,1024,393344,159640,2.46,59.41,0.005829,0.004168
64,5120,393344,166664,2.36,57.63,0.005691,0.004225
64,10240,393344,174552,2.25,55.62,0.005612,0.004078
128,32,393344,360208,1.09,8.42,0.007311,0.004488
128,512,393344,165464,2.38,57.93,0.006687,0.004044
128,1024,393344,159936,2.46,59.34,0.006792,0.004127
128,5120,393344,167736,2.35,57.36,0.006453,0.004321
128,10240,393344,175648,2.24,55.34,0.005468,0.003631
256,32,393344,384824,1.02,2.17,0.007641,0.004333
256,512,393344,166752,2.36,57.61,0.006514,0.003495
256,1024,393344,160464,2.45,59.21,0.005887,0.003417
256,5120,393344,169200,2.32,56.98,0.005202,0.003347
256,10240,393344,177080,2.22,54.98,0.005118,0.003469
